,phase,character,idusers,idnetwork,hint_cloth,hint_col,hat_guess,shirt_guess,pant_guess,shoe_guess,glove_guess,hat,shirt,pant,shoe,glove,score_hat,score_shirt,score_pant,score_shoe,score_glove,score,num_corrects,num_mistakes,grey,winner,grp_act_num,grp_num_corrects,grp_num_mistakes,pos
1,1.0,Freddie,358,1,cappello,nero,9.0,5.0,4.0,7.0,8.0,9,5,4,7,8,10.0,10.0,10.0,10.0,10.0,50.0,5.0,0.0,0.0,1.0,5.0,25.0,0.0,a
3,1.0,Piergiorgio,603,1,guanti,bianco,10.0,10.0,2.0,10.0,8.0,1,2,2,4,8,0.0,0.0,10.0,0.0,10.0,20.0,2.0,0.0,3.0,1.0,5.0,11.0,2.0,a
8,1.0,Marshall,447,1,cappello,bianco,8.0,2.0,2.0,2.0,1.0,8,2,2,2,1,10.0,10.0,10.0,10.0,10.0,50.0,5.0,0.0,0.0,1.0,5.0,21.0,1.0,a
14,1.0,Alberto,184,1,guanti,blu,4.0,5.0,7.0,6.0,5.0,7,1,4,6,5,-5.0,-5.0,-5.0,10.0,10.0,5.0,2.0,3.0,0.0,0.0,5.0,16.0,8.0,a
18,1.0,Teseo,1417,1,cappello,arancione,2.0,3.0,1.0,7.0,8.0,2,4,1,7,8,10.0,-5.0,10.0,10.0,10.0,35.0,4.0,1.0,0.0,1.0,5.0,15.0,4.0,a
21,1.0,Cory,1115,1,cappello,nero,9.0,9.0,8.0,4.0,5.0,9,9,8,4,5,10.0,10.0,10.0,10.0,10.0,50.0,5.0,0.0,0.0,1.0,5.0,25.0,0.0,a
35,1.0,Marshall,445,1,scarpe,arancione,8.0,2.0,2.0,2.0,1.0,8,2,2,2,1,10.0,10.0,10.0,10.0,10.0,50.0,5.0,0.0,0.0,1.0,5.0,21.0,1.0,b
39,1.0,Alberto,896,1,felpa,rosso,4.0,1.0,7.0,6.0,5.0,7,1,4,6,5,-5.0,10.0,-5.0,10.0,10.0,20.0,3.0,2.0,0.0,0.0,5.0,16.0,8.0,b
49,1.0,Freddie,155,1,scarpe,violetto,9.0,5.0,4.0,7.0,8.0,9,5,4,7,8,10.0,10.0,10.0,10.0,10.0,50.0,5.0,0.0,0.0,1.0,5.0,25.0,0.0,b
51,1.0,Piergiorgio,613,1,pantaloni,arancione,10.0,10.0,2.0,10.0,8.0,1,2,2,4,8,0.0,0.0,10.0,0.0,10.0,20.0,2.0,0.0,3.0,1.0,5.0,11.0,2.0,b
59,1.0,Cory,1126,1,guanti,blu,9.0,9.0,8.0,4.0,5.0,9,9,8,4,5,10.0,10.0,10.0,10.0,10.0,50.0,5.0,0.0,0.0,1.0,5.0,25.0,0.0,b
63,1.0,Teseo,369,1,felpa,verde,2.0,4.0,10.0,10.0,10.0,2,4,1,7,8,10.0,10.0,0.0,0.0,0.0,20.0,2.0,0.0,3.0,0.0,5.0,15.0,4.0,b
65,1.0,Freddie,149,1,pantaloni,verde,9.0,5.0,4.0,7.0,8.0,9,5,4,7,8,10.0,10.0,10.0,10.0,10.0,50.0,5.0,0.0,0.0,1.0,5.0,25.0,0.0,c
77,1.0,Piergiorgio,160,1,cappello,rosso,1.0,10.0,10.0,4.0,10.0,1,2,2,4,8,10.0,0.0,0.0,10.0,0.0,20.0,2.0,0.0,3.0,1.0,5.0,11.0,2.0,c
79,1.0,Marshall,1244,1,pantaloni,arancione,10.0,2.0,2.0,10.0,10.0,8,2,2,2,1,0.0,10.0,10.0,0.0,0.0,20.0,2.0,0.0,3.0,0.0,5.0,21.0,1.0,c
90,1.0,Cory,908,1,scarpe,verde,9.0,9.0,8.0,4.0,5.0,9,9,8,4,5,10.0,10.0,10.0,10.0,10.0,50.0,5.0,0.0,0.0,1.0,5.0,25.0,0.0,c
91,1.0,Alberto,163,1,scarpe,celeste,4.0,5.0,7.0,10.0,5.0,7,1,4,6,5,-5.0,-5.0,-5.0,0.0,10.0,-5.0,1.0,3.0,1.0,0.0,5.0,16.0,8.0,c
