,edu,age,female,conspiracy,scandal,media_score,google,poltrust_score
0,3,31,0,1,0,52.5,60,41.3333333333333
1,3,28,1,1,1,52.5,50,65.0
2,1,30,1,1,0,15.0,0,30.0
3,2,27,0,1,1,73.75,62,77.3333333333333
4,2,23,1,0,1,64.375,80,50.0
5,1,42,0,1,1,60.625,50,55.8333333333333
6,2,23,1,1,0,61.25,70,50.3333333333333
7,2,29,0,0,1,43.125,50,34.5
8,2,37,0,1,1,46.875,65,45.0
9,1,27,0,1,1,13.75,0,16.6666666666667
10,2,33,0,0,0,46.25,60,55.0
11,2,22,1,1,0,53.75,60,12.5
12,1,22,1,0,0,52.5,50,63.3333333333333
13,2,33,0,0,0,68.75,75,65.0
14,1,20,0,1,1,45.5,55,21.6666666666667
15,1,33,0,0,1,23.125,5,22.3333333333333
16,3,27,1,0,0,20.875,5,22.6666666666667
17,2,23,1,1,1,42.5,50,42.5
18,2,32,1,1,1,75.625,75,20.8333333333333
19,0,27,1,0,1,46.25,80,49.1666666666667
20,0,21,0,0,1,26.25,25,32.8333333333333
21,0,27,0,0,1,30.0,40,41.6666666666667
22,2,42,1,0,0,49.375,75,64.1666666666667
23,0,19,0,0,0,50.0,50,33.3333333333333
24,0,25,0,0,0,61.125,75,57.6666666666667
25,3,28,0,1,0,56.25,50,60.0
26,1,36,0,1,1,68.125,75,71.6666666666667
27,3,41,1,0,1,74.875,99,72.1666666666667
28,0,38,1,0,1,35.0,20,75.0
29,1,21,0,1,1,57.5,65,58.3333333333333
30,1,57,1,0,1,63.75,100,35.3333333333333
31,3,50,1,0,1,55.0,70,62.5
32,2,51,1,0,1,76.875,100,66.6666666666667
33,2,28,1,1,1,26.875,40,39.1666666666667
34,0,59,0,1,1,60.0,50,45.3333333333333
35,2,40,1,1,0,54.375,50,55.0
36,2,24,0,0,1,60.625,70,48.3333333333333
37,1,35,0,0,1,30.0,40,22.5
38,2,43,1,1,0,43.75,25,58.3333333333333
39,1,29,0,0,0,52.5,50,21.6666666666667
40,2,35,0,1,1,53.125,40,47.5
41,2,35,0,1,0,50.0,50,29.5
42,2,52,0,1,1,55.0,80,66.6666666666667
43,2,53,1,1,0,32.5,50,30.0
44,2,25,1,0,0,13.75,0,36.6666666666667
45,2,29,1,1,0,43.75,40,70.0
46,2,25,0,0,0,39.625,61,45.1666666666667
47,1,44,0,0,0,68.125,100,35.0
48,2,24,0,0,0,20.0,0,46.6666666666667
49,3,43,1,0,0,46.25,80,65.8333333333333
50,3,59,1,0,0,51.25,50,68.3333333333333
51,3,29,1,0,0,52.5,50,35.0
52,2,28,1,1,0,45.0,50,35.0
53,1,24,1,0,1,6.25,0,0.0
54,1,28,0,1,1,40.625,65,61.6666666666667
55,2,27,0,1,0,58.75,100,50.0
56,1,21,1,0,1,64.375,70,58.3333333333333
57,3,28,0,1,1,61.25,50,53.3333333333333
58,2,42,0,1,1,25.125,10,38.8333333333333
59,0,65,1,0,1,40.0,30,55.0
60,1,20,0,1,0,60.0,75,67.5
61,1,30,1,0,0,25.0,75,40.0
62,3,34,0,1,0,15.625,20,10.8333333333333
63,2,30,1,1,0,30.625,20,58.3333333333333
64,2,24,1,0,1,61.875,90,48.3333333333333
